,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,J'aime une vidéo @YouTube de @fliptfo - JUSTIN TRUDEAU vs DONALD TRUMP http://youtu.be/HZLmiCtEs9A?a ,2017-03-05 15:59:55,1,1,838539603086835713,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
1,Barbra Streisand: 'Donald Trump is Making Me Gain Weight' - Breitbart News -  https://donaldtrumpleak.com/barbra-streisand-donald-trump-is-making-me-gain-weight-breitbart-news/ …pic.twitter.com/yPua6jExYR,2017-03-05 15:59:53,26,24,838539596648566784,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5267}",0.0841454545455,0.083
2,"Donald Trump is not at war against the Democrats, but he is at war with the senior Republicans as well and the larger deep state.",2017-03-05 15:59:51,0,0,838539584967479299,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.8378}",0.0841454545455,0.083
3,"Today while teaching Sunday School I got asked: ""is Donald Trump a Christian?""",2017-03-05 15:59:50,2,0,838539582748704768,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
4,Donald Trump's Tweets As An Early 2000s Emo Song  @LeeWagoner88https://www.youtube.com/watch?v=CopDK_jI6DI&feature=share …,2017-03-05 15:59:44,0,1,838539559591882757,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
5,Donald Trump asks Congress to investigate wiretap report he 'read on the internet' - The Sydney Morning Herald https://apple.news/AnJgpvj5-R22yCetQHAd_5Q …,2017-03-05 15:59:44,0,0,838539557515616256,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
6,"@GraysonDolan wanna hear a joke

Donald Trump",2017-03-05 15:59:44,0,0,838539557264056321,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.296}",0.0841454545455,0.083
7,Creador de House of Cards pide a Twitter cerrar cuenta de Donald Trump http://mile.io/2lPAxcw pic.twitter.com/TuXq7SUkO8,2017-03-05 15:59:42,83,74,838539547747184641,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
8,"http://goo.gl/5QfOjF  Asia and Australia Edition: Donald Trump, Mosul, China: Your Morning Briefing… https://goo.gl/fb/Gy4sml ",2017-03-05 15:59:38,0,0,838539532341493761,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
9,Weekend Update: Eric and Donald Trump Jr. - SNL https://youtu.be/-OBiSNOumtU  via @YouTube,2017-03-05 15:59:34,0,0,838539513978896384,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
10,Cada que subes o suben una foto contigo cominzo a darme cuenta que estas mejor si mi y es en vano que te recerde a cada instante,2017-03-05 15:59:34,0,0,838539513647497216,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
11,@realDonaldTrump @foxandfriends Once you start being too unpredictable Rs will distance themselves because they are self serving politicians,2017-03-05 15:59:32,0,0,838539508685680640,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
12,ICYMI: @marklevinshow PROVES Obama Wiretapping on President Donald Trump https://youtu.be/91fNfGjZdM0  #rednationrising #ccot #magapic.twitter.com/7CwP9nWigS,2017-03-05 15:59:26,7,7,838539483284926464,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0841454545455,0.083
13,@DonaldTrump Is it that u wern't paying attention or don't u get it NO ONE cares !,2017-03-05 15:59:25,0,0,838539478432112640,"{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.693}",0.0841454545455,0.083
14,Donald Trump's a joke,2017-03-05 15:59:25,0,0,838539477735903232,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.296}",0.0841454545455,0.083
