,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,@RealJack Donald Trump is going to be one of our all time Great Presidents. History in the Making,2017-03-01 14:43:34,4,1,837070837769347073,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.6249}",0.117388261174,0.0601939806019
1,1,1,1,Time to Get Tough - Donald Trump | Politics & Current Events... #Politics&CurrentEventshttp://dlvr.it/NWKlGs ,2017-03-01 14:11:32,0,0,837062777466322947,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.128}",0.117388261174,0.0601939806019
2,2,2,2,Time to Get Tough - Donald Trump | Politics & Current Events... #Politics&CurrentEvents http://joycelow.a10-news.com/post/157870847063?utm_source=dlvr.it&utm_medium=twitter … #PoliticsampCurrentEvents,2017-03-01 13:55:07,0,0,837058646261432320,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.128}",0.117388261174,0.0601939806019
3,3,3,3,"Oprah Winfrey says she could run for president, thanks to Donald Trump http://dailym.ai/2mKVCEG  via @MailOnline",2017-03-01 12:58:12,0,0,837044322398695424,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.117388261174,0.0601939806019
4,4,4,4,Democrats’ Response to President Donald Trump's Address to Joint Congres... https://youtu.be/jQe_HaB-hic  via @YouTube,2017-03-01 12:20:24,0,0,837034808286982145,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.117388261174,0.0601939806019
5,5,5,5,"When skateboards are outlawed only outlaws will have skateboards.

     #DonaldTrump",2017-03-01 12:10:15,0,0,837032254522200064,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.117388261174,0.0601939806019
6,6,6,6,Donald Trump delivers first speech to Congress - http://CNNPolitics.com : It is clear Obama was ruining America.http://www.cnn.com/2017/02/28/politics/donald-trump-congress-speech/index.html …,2017-03-01 10:52:27,0,0,837012675595014145,"{'neg': 0.114, 'neu': 0.739, 'pos': 0.148, 'compound': 0.1531}",0.117388261174,0.0601939806019
7,7,7,7,All immigrants should be able to support themselves! Donald Trump Calls for Huge ‘Merit Based’ Immigration Reform http://eheadlines.com/donald-trump-calls-for-huge-merit-based-immigration-reform/#.WLcHdl6h10g.twitter …,2017-03-01 09:40:40,0,0,836994612652716032,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.7959}",0.117388261174,0.0601939806019
8,8,8,8,Revisiting Donald Trump’s Anti-Semitic Attacks Against Jon Stewart  http://thebea.st/2lpOQmS  via @thedailybeast,2017-03-01 09:37:39,0,0,836993850769977346,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",0.117388261174,0.0601939806019
9,9,9,9,BREAKING : Donald Trump Delivers One of The BEST Presidential Speeches Ever http://truthfeed.com/breaking-donald-trump-delivers-one-of-the-best-presidential-speeches-ever/54264/ …,2017-03-01 07:42:03,0,0,836964758876123137,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.7125}",0.117388261174,0.0601939806019
